"comment","user_id"
"comment_text","176"
"""Jungkook once said: """"whenever ARMYS miss us","493"
"""Everyone who sees this: You’re beautiful","200"
"""Everyone who reads this","914"
"""used this for getting me through a 2","485"
"""If you are ARMY","291"
"""those of you struggling","744"
"""Don't worry Namjoon ","273"
"""What ever you're chasing for","487"
"""Bts es lo único que tengo como mi consuelo ","57"
"""💜💜💜💜💜💜nunca desista ami ","573"
"""First of all","178"
"""I got 100% :( because of BTS","971"
"""to everyone studying or doing homework","967"
"I can here their voices ( ◜‿◝ )♡","592"
"""Hey you👋. Yes","490"
"""Why is everyone in the comments so sweet","846"
"""9 pm just crying because","631"
"""When I have something sad","607"
"""At first I was not going to comment","179"
"""damn","118"
"""Words can't explain","464"
"""I listen to this when I am feeling well","215"
"this is yoongis masterpieces in one no cap","542"
"BTS is perfection 💜😭","810"
"""Even though I've been an army for a long time","192"
"""Through this video my past ","504"
"Let us work the magic~ BTS","575"
"""as the keys dance in harmony","289"
"""One day if I'm pregnant","735"
"the way you choose spring day for the first song.","642"
"i have an exam today will i be able to do my best","118"
"""Insisto en que el coro (o bueno","713"
"""Mi pregunta aquí es","798"
"""¡Feliz año! (´∀｀)♡ Cuéntenme","21"
"""la portada con el taekook","88"
"""Amo la carita de Yoongiiii","640"
"""_Oh Shit","501"
"""Una de mis canciones favoritas del álbum","431"
"No se imaginan cuánto amo está canción :') ❤","542"
"Se la dedico a mi mamá.","613"
"""Hola","256"
"Mi fav del álbum ozy 💙🥺😎","300"
"Yo pensando que Yoongi cantaba los coros: 🤡 xD","233"
"Se la dedico a Min Yoongi ❤️✨","529"
"""Estaba esperando esta traducción","370"
"""Dediquen la canción","569"
"""Oigan","142"
"Lo estaba esperando (人 •͈ᴗ•͈)💜","120"
"""Deja ir tus preocupaciones por un tiempo","181"
"""Está hermoso ","641"
"Me la dedicaron :'''D","397"
"""Amo a JK","591"
"""Vengo del futuro","368"
"""Yo no dude en dedicárselo a mi mejor amiga","935"
"""2:07 el """"bebé"""" de fondo de Namjoon LPM""","109"
"Es arte de yoongi mi rey 🤗💜","574"
"""Por fin","789"
"Ameeeee ❤ La edición del video es súper linda!!~","894"
"""Hasta que no vea la presentación en vivo","786"
"""Llegué 👁️👄👁️👍","329"
"""Woa! Se ve lindo","506"
"""Gracias por ser mi felicidad","606"
"el Taekook de miniatura lo es todo","43"
"""Hermosaaa una joya","349"
"""Weeee~~ Mi mejor amiga me dedico esta canción ","400"
"""De verdad no sabia el significado :'3","571"
"Primeraaaa hermoso AHHHH 😭❤️","628"
"""Vine más rápido que el rap de suga ","392"
"Podrías hacer uno hací pero con disease?🥺","911"
"Haces arte! Muchas gracias por la traducción :3","546"
"""Al ver tus videos","725"
"Tus traducciones son arte","868"
"""Si la dedico no es pa cualquiera","604"
"Esto es arte aaaaaa >v<💜","647"
"Realmente me encantó la traducción es hermoso 💞","398"
"""Porque no tiene millones de likes","102"
"""Aaah","237"
"I can't stop laughing 🤣😂🤣","938"
"Why did i laugh like Jin  This day😂😂","70"
"Omg my heart 😔❤️ 😂😂😂😂😂😭😭😭","894"
"Happy New year to all 🔥❤️","776"
"BTS never Fail to make army laugh","437"
"V and jin voice 🤣🤣🤣🤣🤣😂😂","496"
"Mochi are u ok ? Tae's laugh was cute","187"
"Me laughing like WORLDWIDE HANDSOME JIN  🤣😂😂😂","85"
"Me i can stop laughing to jin","328"
"Aww! So cute and funny!","316"
"V laughing definitely fits to the song. 😅😅","171"
"I like tae hyun part non stop laughing 😂🤣😂🤣","1"
"Jin's  laugh 😂🤣","177"
"When jimin was showing his sock drawing  👀 Wow","779"
"Aww V (Kim taehyung) laugh💜😂💜 5th one guess","669"
"every year is happy with BTS 💜💜💜💜","932"
"ジミンかっこいい👩‍❤️‍💋‍👨","658"
"Y is this so perfect 😻💜💜💜💜💜","221"
"Jimin was so cute🐥 but all of them was cute also","187"
"That was hilarious.. 😂💜","288"
"im like dying someone help me 🤣🤣🤣🤣🤣🤣🤣🤣","110"
"V so cute","801"
"that edit with ball I can't 🤣🤣🤣","168"
"Bts cool and smile and cute little boys.😻💝","178"
"This left me dyeing😂😂😂😂😂","440"
"My heart💜😂  I am laughing so hard✋🏻","994"
"At the last jin got targen spirit  I am dying lol","503"
"""They are famous for being crackheads 😂😂","685"
"jin so funny 🤣🤣🤣🤣","519"
"wお腹いたいwww","212"
"Rappy New year to all❤🔥","323"
"Lmao 💜💜💜💜😂😂😂😂","565"
"V is the perfect","413"
"Oh my god 😂😂😂😂😂😂 luv u ahh","912"
"Ur edits are 😍😍😍😍😍😍 purple u","720"
"او مي قاد شوقا وجين😂😂😂😂😂😂","560"
"Oh my gawd my heart is oh my god😂😂😂💜🤣","889"
"This is so funny i cant stop laughing!🤣🤣🤣","603"
"Dis is 2 cuteeeee","370"
"Such a great edit","528"
"I love this so much","931"
"BTS is so amazing👍👍👍👍","201"
"Cuttttteee 😘😘😘","695"
"Hi ❤️❤️❤️❤️ I like you so much BTS","441"
"Happy lmao new year ❤️❤️","392"
"This is amazing 😱💟💟","419"
"ㅋㅋㅋㅋㅋ","675"
"I can't stop watching this 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣","306"
"Jin 😂😂😂😂😂😂😂😂","280"
"This video is amazing I can't stop laughing 🥰🤭","60"
"I can't stop laughing 🤣🤣😂","262"
"No no no lol I can't breath 😂🤣😂🤣","829"
"Yes nice song BTS cute and handsome","229"
"Taehyung hahaha","608"
"Hahahahaha so funny and cute 🤣😍. Happy new YEAR","560"
"I'm dying 😂😂😂","584"
"❤️❤️❤️ BTS army forever ❤️❤️❤️","625"
"Happy new year po 😊😊😊😊😊","269"
"My heartu  boom boom 😂😂","341"
"Happy new year.... 💜💜💖💖💖💜💜","933"
"MORRI KKKKK🤣","189"
"Awwww","463"
"טאהיונג הצחיק אותי😂❤💜❤","230"
"Thanks 😍😍😘😘ilove you","19"
"😃😃Kim sokjin","563"
"❤","348"
"Aww so cute n funny","395"
"""itu KIM TAEHYUNG NYA ( V ) lucuuuu ","153"
"😅😅they are soo funny😂😂","607"
"Soo funny 💜","658"
"omg funny so cute😂😅❤🤗","990"
"who else agrees that she's underrated? 💓","144"
"""Wow 😯 I can’t believe she is in college","547"
"""I literally thought she was 9 or 10 years old","437"
"Your pronounciation improved so much!","108"
"Never clicked this fast in my life","5"
"""Can't take my eyes off you","741"
"""your angelic voice","300"
"""AAAA su voz es hermosa me encanta","800"
"Она как ангел...","125"
"Omg she is 18 😱🥺 so beautiful voice ❤️","672"
"""I see new cover made by Emily Sie","21"
"woah. thas it. her voice is *CHEFS KISS*","616"
"Her voice is so cool and nice","959"
"""Aaaaaaahh","738"
"The colour pallet of her room fits this song!!","897"
