"name","price"
"name","1"
"Перчатки сад.GardenGenieGloves 1541","6500"
"ПНД фас.пакет рулон 25*40 500","16000"
"Держатель д/щеток Миньон 488","29000"
"Бахилы п/эт 50пар ГОЛУБЫЕ БМ20СЛ","6200"
"Сетка 7магнитов CLAS OHLSON(Швеция)","22900"
"Стельки Шоль гелевые Женские","13000"
"""Контейнер д/стир.порош.""""Стир.маш""""5л""","20100"
"Smart салфетки в рулоне 150шт448200","13100"
"Сушилка д/белья наполь.НИКА 18м СБ1","85900"
"Вешалка пластик Дешёвые ЛЕМО","1500"
"Контейнер д/специй 5-секц. С368","13500"
"Перчатка True Touch д/животных","9500"
"Губка меламиновая 1шт. SPONGE","2100"
"""Мини-чайник эл.""""Малыш""""(Россия)""","11600"
"Крышка винтовая 82 стандарт ФОТО/20","449"
"ПНД фас.пакет рулон 30*50 300шт","12800"
"Просеиватель д/муки МЕТАЛЛ 1551","16000"
"Крышка закаточная металл СКО 1-82","265"
"Подставки антивибр.д/стир.маш.4шт.","7500"
"Пакет мусор Полосатик особ.60л.20шт","8600"
"Скотч арт.260. 50мм*120м","11500"
"Контейнер д/овощей 11.2л. С821","29600"
"Пищевая плёнка 0.3/300м NOVA ROLL","18000"
"ПНД АМИГО 30л с ручками 50шт/30","7900"
"Фасовоч.пак.24смх37см 100шт AMIGO","2200"
"Ланчбокс 2отд.1.4л.841-711","33200"
"Сушилка на батарею 3.1м НИКА СБ5-65","17300"
"Мясорубка(Казань)","99500"
"ХРОМ Держатель для т/б,осв.271042","22500"
"Ленивка большая(швабра+совок)Россия","32000"
"Пельменница металл без упаковки","10500"
"Веник СОРГО ЭЛИТ","8900"
"""Мочалка натуральная люфа""""Огурец""""""","11200"
"Сменный блок для швабр с отж.","8600"
"Фольга алюминиевая 10м ПРЕМИУМ","5100"
"Коврик антипригарный 33*40см 438066","14000"
"Ведро-туалет со стульчаком (Россия)","41000"
"Шланг Hose 75м+насадка","105000"
"Шланг Hose 45м+насадка","74900"
"Чесночница (Беларусь)","5800"
"Контейнер Дом.Доктор 6.5л 31*20*18","32900"
"Сушилка на батарею 2.1м СБ5-45 НИКА","15300"
"Пакет мусор Полосатик особ.120л.","8000"
"Шланг Hose 60м+насадка","89900"
"Швабра насадка хлопок MEGA (Польша)","12800"
"Доска разделоч.гибкая из 4шт. 1247","9900"
"Шпагат п/п 500м(Россия)","23500"
"Магнит.щетка для стекол GlassМО-343","19000"
"Форма д/выпечки разъемная 24*7см","27100"
"Контейнер д/хранения 15л. 42*27*22","36000"
"Форма д/выпечки разъемная 26*7см","28400"
"Миксерница 3шт.(Россия)1.5+2.7+3.7л","20800"
"Свеча хоз.белая 80гр.коробка 60штук","122900"
"Контейнер д/хранения 10л. 35*24*19","24700"
"Н-р форм д/салатов 4пр.9*4см865-019","14700"
"Эл-т питания Panasonic R6 SW8 /48","1450"
"Форссайт флакон 50мл от клопов и др","13900"
"Помпа на бутылку малая KH-3092","16800"
"Силикон форма Кексики 16шт.HS-080C","16000"
"Нож-шинковка металл два лезвия","12000"
"Мешок д/строит.мусора 50кг.зеленый","999"
"Комбайн для ягод МЕТАЛЛ станд.(Фин)","54900"
"Стельки зимние Верблюд 0111","7000"
"Контейнер д/овощей 7.6л. С820","25300"
"Электросушилка для обуви В.ЛУКИ","60000"
"Пакет мусор Полосатик особ.30л.20шт","6050"
"Корзина подвесная 37х25 бел.М-1592","22900"
"Тендерайзер (размягчитель мяса) МХТ","11600"
"Сетка на дверь с магнитами (Китай)","16900"
"Ланчбокс 1отд.0.7л.841-710","21000"
"Сушилка подвесная окрашенная белая","38900"
"""Сушилка д/б на бат.""""Ника""""2полк.6.2м""","25900"
"Швабра микрофибра CLEAR Line 1306","22200"
"Овощечистка двухсторонняя(Украина)","3500"
"Вакуумная система д/консервац.","17500"
"Салфетки влажные Эконом 70шт","4450"
"Нелопающиеся пузыри Е-9 9мл","3500"
"Свечи плавающие 100шт эконом гильза","44500"
"Палка д/швабры дерево(РОССИЯ)","5500"
"Мешки д/пылесоса универсал 5штук.","16400"
"""Пьезозажигалка""""Аврора""""(Волгоград)""","15400"
"Перчатки рабочие х/б(Россия) 10пар","14700"
"Кружка для миксера 2л.(Полимербыт)","16800"
"Распылитель B Зелено-Желтый","3200"
"Мочалка-полотенце Японская М341","5500"
"Контейнер Домашний доктор 10л.","39500"
"Кукарача/Лиходей 45мл клопы и др.","13900"
"Пакеты д/мусора Полосатик 240л.10шт","19000"
"Подушка TOTAL PILLOW универсальная","27000"
"Этажерка для обуви без зонта","99900"
"Терка НИКИС прямоуг.(Беларусь)Т-1у","7900"
"Контейнер д/хранения 6.5л. 31*20*18","19000"
"Салфетки влаж.д/детей 120шт ЭКОНОМ","7200"
"Форма д/выпечки регулир.16-20см2298","19200"
"Рожок для обуви металл 60см","8800"
"Бесконтактный терм.д/тела NonContac","54900"
"Крышка винтовая 82(станд) РОССЫПЬ","470"
"Салфетка из вискозы арт.1069 10штук","5500"
"ПНД АМИГО 60л с ручками 50шт /20","11000"
"Мешок кондитерский с нас.МХТ 2616","9450"
"Стельки зимние ЛЮКС 0081","5900"
"Наб.мисок с крышк.5шт стекло828-170","29800"
"Экономитель воды ВО-123 МО-1392","7900"
"Сумка хоз.клетка 80*50см","18000"
"Набор кухонный тефлон 6пр. CD-4219","14400"
"Молоток д/мяса металл украина МАЛЫЙ","7900"
"Банка д/сып. квадрат 1.2л /С267/","13200"
